1974	12413000
1975	12689000
1976	12943000
1977	13171000
1978	13341000
1979	13411000
1980	13357000
1981	13172000
1982	12883000
1983	12538000
1984	12204000
1985	11938000
1986	11736000
1987	11605000
1988	11618000
1989	11869000
1990	12412000
1991	13299000
1992	14486000
1993	15817000
1994	17076000
1995	18111000
1996	18853000
1997	19357000
1998	19738000
1999	20171000
2000	20780000
2001	21607000
2002	22601000
2003	23681000
2004	24727000
2005	25654000
2006	26433000
2007	27101000
2008	27722000
2009	28395000
2010	29186000
2011	30117000
2012	31161000
2013	32270000
2014	33371000
2015	34414000
2016	35383000
2017	36296000
2018	37172000
2019	38042000
