Day	Mean	Uncertainty
29526	338.8	0.1
29891	340	0.1
30256	340.77	0.1
30621	342.44	0.1
30987	343.99	0.1
31352	345.47	0.1
31717	346.87	0.1
32082	348.62	0.1
32448	351.15	0.1
32813	352.79	0.1
33178	353.98	0.1
33543	355.29	0.1
33909	355.99	0.1
34274	356.71	0.1
34639	358.21	0.1
35004	360.05	0.1
35370	361.79	0.1
35735	362.9	0.1
36100	365.54	0.1
36465	367.64	0.1
36831	368.84	0.1
37196	370.41	0.1
37561	372.42	0.1
37926	374.96	0.1
38292	376.8	0.1
38657	378.81	0.1
39022	380.94	0.1
39387	382.68	0.1
39753	384.78	0.1
40118	386.29	0.1
40483	388.57	0.1
40848	390.45	0.1
41214	392.46	0.1
41579	395.19	0.1
41944	397.12	0.1
42309	399.41	0.1
42675	402.86	0.1
43040	405	0.1
