Distance (Mpc)	Velocity (km/s)	Uncertanty (km/s)
0.15	-307	25
0.6	-283	25
0.38	-22	25
0.5	0	25
0.4	212	28
0.5	305	32
0.78	181	28
0.8	298	32
0.9	195	27
0.6	510	32
0.95	432	44
0.62	641	42
0.83	602	40
1.02	408	43
1.08	401	42
1.2	285	32
1.31	322	38
1.38	487	45
1.18	748	58
0.81	810	61
0.92	801	61
1.01	802	61
1.18	804	61
0.68	820	68
0.77	918	65
0.76	1182	72
0.91	1123	71
1.11	954	68
1.56	696	40
1.68	1803	72
1.78	1181	70
1.8	0	10
1.82	1317	75
1.83	608	40
1.79	931	59
1.84	597	38
1.9	601	40
2.01	319	38
2.41	698	42
2.78	697	42
2.78	982	65
3.44	803	62
